isbn13,title,author,description,nyt_list_category,first_seen_date,cover_url,publisher,rank,weeks_on_list
9781538742570,The Housemaid,Freida McFadden,Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.,Combined Print & E-Book Fiction,2026-01-10,https://covers.openlibrary.org/b/isbn/9781538742570-L.jpg,Grand Central,1,113
9781335534637,Heated Rivalry,Rachel Reid,The second book in the Game Changers series. Rival captains of two hockey teams try to keep their relationship out of the spotlight.,Combined Print & E-Book Fiction,2026-01-10,https://covers.openlibrary.org/b/isbn/9781335534637-L.jpg,Carina,2,5
9781668236512,Theo Of Golden,Allen Levi,"A man travels to a small Southern town, where he purchases pencil drawings of local residents and exchanges them for stories.",Combined Print & E-Book Fiction,2026-01-10,https://covers.openlibrary.org/b/isbn/9781668236512-L.jpg,Atria,3,6
9781668002964,The First Time I Saw Him,Laura Dave,"Hannah’s husband turns up five years after he disappeared, which forces her to go on the run with her daughter.",Combined Print & E-Book Fiction,2026-01-10,https://covers.openlibrary.org/b/isbn/9781668002964-L.jpg,Scribner,4,1
9780593798430,The Correspondent,Virginia Evans,Letters from someone she used to know push Sybil Van Antwerp toward revisiting her past and finding a way to forgive.,Combined Print & E-Book Fiction,2026-01-10,https://covers.openlibrary.org/b/isbn/9780593798430-L.jpg,Crown,5,9
9780349132617,The Housemaid'S Secret,Freida McFadden,The second book in the Housemaid series. The sound of crying and the appearance of blood portend misdeeds.,Combined Print & E-Book Fiction,2026-01-10,https://covers.openlibrary.org/b/isbn/9780349132617-L.jpg,Mobius,6,15
9781335534644,The Long Game,Rachel Reid,"The sixth book in the Game Changers series. Ten years into their relationship, Ilya is tired of Shane keeping it a secret.",Combined Print & E-Book Fiction,2026-01-10,https://covers.openlibrary.org/b/isbn/9781335534644-L.jpg,Carina,7,2
9781984806758,People We Meet On Vacation,Emily Henry,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.,Combined Print & E-Book Fiction,2026-01-10,https://covers.openlibrary.org/b/isbn/9781984806758-L.jpg,Berkley,8,39
9780593820254,Dungeon Crawler Carl,Matt Dinniman,"A Coast Guard vet named Carl and his ex-girlfriend’s cat, Princess Donut, are trapped in a fantasy dungeon.",Combined Print & E-Book Fiction,2026-01-10,https://covers.openlibrary.org/b/isbn/9780593820254-L.jpg,Ace,9,2
9780593135228,Project Hail Mary,Andy Weir,"Ryland Grace awakes from a long sleep alone and far from home, and the fate of humanity rests on his shoulders.",Combined Print & E-Book Fiction,2026-01-10,https://covers.openlibrary.org/b/isbn/9780593135228-L.jpg,Ballantine,10,31
