isbn,isbn13,title,author,description,page_count,published_date,publisher,cover_url,cover_filename,series_name,volume_number,series_position,genres,rating,language,audience,intensity,moods,classification_confidence
0439023483,9780439023481,"The Hunger Games","Suzanne Collins","WINNING MEANS FAME AND FORTUNE.LOSING MEANS CERTAIN DEATH.THE HUNGER GAMES HAVE BEGUN. . . .In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and once girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.Sixteen-year-old Katniss Everdeen regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to dead before—and survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weight survival against humanity and life against love.",374,2008,"Scholastic Press",https://covers.openlibrary.org/b/isbn/9781407135397-L.jpg,,"The Hunger Games",1,,"Young Adult, Fiction, Dystopia, Fantasy, Science Fiction",4.33,english,,,,
9780545582971,9780545582971,"Harry Potter and the Order of the Phoenix","J.K. Rowling, Mary GrandPré","There is a door at the end of a silent corridor. And it’s haunting Harry Pottter’s dreams. Why else would he be waking in the middle of the night, screaming in terror?Harry has a lot on his mind for this, his fifth year at Hogwarts: a Defense Against the Dark Arts teacher with a personality like poisoned honey; a big surprise on the Gryffindor Quidditch team; and the looming terror of the Ordinary Wizarding Level exams. But all these things pale next to the growing threat of He-Who-Must-Not-Be-Named - a threat that neither the magical government nor the authorities at Hogwarts can stop.As the grasp of darkness tightens, Harry must discover the true depth and strength of his friends, the importance of boundless loyalty, and the shocking price of unbearable sacrifice.His fate depends on them all.",870,2003,"Scholastic Inc.",https://covers.openlibrary.org/b/isbn/9780545582971-L.jpg,,"Harry Potter",5,,"Fantasy, Young Adult, Fiction, Magic, Childrens",4.5,english,,,,
006017322X,9780060173227,"To Kill a Mockingbird","Harper Lee","The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.",324,1960-01-01,HarperCollinsPublishers,https://covers.openlibrary.org/b/isbn/9781473556812-L.jpg,,"To Kill a Mockingbird",,,"Classics, Fiction, Historical Fiction, School, Literature",4.28,english,,,,
9780007874699,9780007874699,"Pride and Prejudice","Jane Austen, Anna Quindlen","Jane Austen called this brilliant work ""her own darling child"" and its vivacious heroine, Elizabeth Bennet, ""as delightful a creature as ever appeared in print."" The romantic clash between the opinionated Elizabeth and her proud beau, Mr. Darcy, is a splendid performance of civilized sparring. And Jane Austen's radiant wit sparkles as her characters dance a delicate quadrille of flirtation and intrigue, making this book the most superb comedy of manners of Regency England.",279,1813,"HarperCollins Children's Books",https://covers.openlibrary.org/b/isbn/9780007874699-L.jpg,,,,,"Classics, Fiction, Romance, Historical Fiction, Literature",4.26,english,,,,
0316160172,9780316160179,Twilight,"Stephenie Meyer","About three things I was absolutely positive.

First, Edward was a vampire.

Second, there was a part of him—and I didn't know how dominant that part might be—that thirsted for my blood.

And third, I was unconditionally and irrevocably in love with him.

Deeply seductive and extraordinarily suspenseful, Twilight is a love story with bite.",501,2005-01-01,"Megan Tingley Books/Little, Brown and Company",https://covers.openlibrary.org/b/isbn/9780316160179-L.jpg,,"The Twilight Saga",1,,"Young Adult, Fantasy, Romance, Vampires, Fiction",3.6,english,,,,
0439023483,9780439023481,"The Hunger Games","Suzanne Collins","WINNING MEANS FAME AND FORTUNE.LOSING MEANS CERTAIN DEATH.THE HUNGER GAMES HAVE BEGUN. . . .In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and once girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.Sixteen-year-old Katniss Everdeen regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to dead before—and survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weight survival against humanity and life against love.",374,2008,"Scholastic Press",https://covers.openlibrary.org/b/isbn/9781407135397-L.jpg,9780439023481.jpg,"The Hunger Games",1,,"Young Adult, Fiction, Dystopia, Fantasy, Science Fiction",4.33,english,,,,
9780545582971,9780545582971,"Harry Potter and the Order of the Phoenix","J.K. Rowling, Mary GrandPré","There is a door at the end of a silent corridor. And it’s haunting Harry Pottter’s dreams. Why else would he be waking in the middle of the night, screaming in terror?Harry has a lot on his mind for this, his fifth year at Hogwarts: a Defense Against the Dark Arts teacher with a personality like poisoned honey; a big surprise on the Gryffindor Quidditch team; and the looming terror of the Ordinary Wizarding Level exams. But all these things pale next to the growing threat of He-Who-Must-Not-Be-Named - a threat that neither the magical government nor the authorities at Hogwarts can stop.As the grasp of darkness tightens, Harry must discover the true depth and strength of his friends, the importance of boundless loyalty, and the shocking price of unbearable sacrifice.His fate depends on them all.",870,2003,"Scholastic Inc.",https://covers.openlibrary.org/b/isbn/9780545582971-L.jpg,9780545582971.jpg,"Harry Potter",5,,"Fantasy, Young Adult, Fiction, Magic, Childrens",4.5,english,,,,
006017322X,9780060173227,"To Kill a Mockingbird","Harper Lee","The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.",324,1960-01-01,HarperCollinsPublishers,https://covers.openlibrary.org/b/isbn/9781473556812-L.jpg,9780060173227.jpg,"To Kill a Mockingbird",,,"Classics, Fiction, Historical Fiction, School, Literature",4.28,english,,,,
9780007874699,9780007874699,"Pride and Prejudice","Jane Austen, Anna Quindlen","Jane Austen called this brilliant work ""her own darling child"" and its vivacious heroine, Elizabeth Bennet, ""as delightful a creature as ever appeared in print."" The romantic clash between the opinionated Elizabeth and her proud beau, Mr. Darcy, is a splendid performance of civilized sparring. And Jane Austen's radiant wit sparkles as her characters dance a delicate quadrille of flirtation and intrigue, making this book the most superb comedy of manners of Regency England.",279,1813,"HarperCollins Children's Books",https://covers.openlibrary.org/b/isbn/9780007874699-L.jpg,9780007874699.jpg,,,,"Classics, Fiction, Romance, Historical Fiction, Literature",4.26,english,,,,
0316160172,9780316160179,Twilight,"Stephenie Meyer","About three things I was absolutely positive.

First, Edward was a vampire.

Second, there was a part of him—and I didn't know how dominant that part might be—that thirsted for my blood.

And third, I was unconditionally and irrevocably in love with him.

Deeply seductive and extraordinarily suspenseful, Twilight is a love story with bite.",501,2005-01-01,"Megan Tingley Books/Little, Brown and Company",https://covers.openlibrary.org/b/isbn/9780316160179-L.jpg,9780316160179.jpg,"The Twilight Saga",1,,"Young Adult, Fantasy, Romance, Vampires, Fiction",3.6,english,,,,
