isbn13,title,author,description,page_count,published_date,publisher,cover_url,cover_filename,genres,series_name,volume_number,audience,intensity,moods,classification_confidence,mood_darkness,pacing_speed,complexity_score,emotional_intensity,plot_archetype,prose_style,setting_atmosphere,vibe_confidence,is_nyt_bestseller,nyt_list_category,nyt_weeks_on_list,nyt_peak_rank
9781538742570,"The Housemaid","Freida McFadden","Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.",,"April 26 2022","Grand Central",https://covers.openlibrary.org/b/id/14653835-L.jpg,9781538742570.jpg,Fiction,,,adult,dark,"suspenseful, tense, mysterious",0.9,8.5,8.5,3.5,8.5,unreliable_narrator,conversational,contemporary,0.8,1,"Combined Print & E-Book Fiction",113,1
9781335534637,"Heated Rivalry","Rachel Reid","The second book in the Game Changers series. Rival captains of two hockey teams try to keep their relationship out of the spotlight.",371,2019,Carina,https://covers.openlibrary.org/b/isbn/9780369748898-L.jpg,9781335534637.jpg,Fiction,"Game Changers",2,adult,moderate,"romantic, tense",0.9,3,6,3,7,enemies_to_lovers,conversational,contemporary,0.85,1,"Combined Print & E-Book Fiction",5,2
9781668236512,"Theo Of Golden","Allen Levi","A man travels to a small Southern town, where he purchases pencil drawings of local residents and exchanges them for stories.",400,2025,Atria,https://covers.openlibrary.org/b/isbn/9781668236512-L.jpg,9781668236512.jpg,Fiction,,,adult,light,"thought_provoking, cozy, melancholic",0.85,2,2,3,4,fish_out_of_water,conversational,small_town,0.75,1,"Combined Print & E-Book Fiction",6,3
9781668002964,"The First Time I Saw Him","Laura Dave","Hannah’s husband turns up five years after he disappeared, which forces her to go on the run with her daughter.",288,2026-01-06,Scribner,https://books.google.com/books/content?id=pE1o0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,9781668002964.jpg,Fiction,,,adult,intense,"suspenseful, tense, mysterious",0.9,7.5,8.5,3.5,8.5,whodunit,conversational,contemporary,0.8,1,"Combined Print & E-Book Fiction",1,4
9780593798430,"The Correspondent","Virginia Evans","Letters from someone she used to know push Sybil Van Antwerp toward revisiting her past and finding a way to forgive.",305,2025,Crown,https://covers.openlibrary.org/b/id/15097207-L.jpg,9780593798430.jpg,Fiction,,,adult,moderate,"melancholic, thought_provoking, inspirational",0.9,6,3,4,8,redemption_arc,conversational,contemporary,0.8,1,"Combined Print & E-Book Fiction",9,5
9780349132617,"The Housemaid'S Secret","Freida McFadden","The second book in the Housemaid series. The sound of crying and the appearance of blood portend misdeeds.",,2023,Mobius,https://covers.openlibrary.org/b/id/14840897-L.jpg,9780349132617.jpg,Fiction,"The Housemaid series",2,adult,intense,"suspenseful, tense, mysterious",0.9,8.5,9.5,3.5,8.5,unreliable_narrator,conversational,contemporary,0.85,1,"Combined Print & E-Book Fiction",15,6
9781335534644,"The Long Game","Rachel Reid","The sixth book in the Game Changers series. Ten years into their relationship, Ilya is tired of Shane keeping it a secret.",,2024,Carina,https://covers.openlibrary.org/b/id/15152824-L.jpg,9781335534644.jpg,Fiction,"Game Changers series",6,adult,moderate,"romantic, tense",0.9,3,5,3,7,other,conversational,contemporary,0.85,1,"Combined Print & E-Book Fiction",2,7
9781984806758,"People We Meet On Vacation","Emily Henry","Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.",401,"May 11, 2021",Berkley,https://covers.openlibrary.org/b/id/10476782-L.jpg,9781984806758.jpg,Fiction,,,adult,moderate,"romantic, humorous, thought_provoking",0.9,3.5,6.5,2.5,7.5,other,conversational,contemporary,0.85,1,"Combined Print & E-Book Fiction",39,8
9780593820254,"Dungeon Crawler Carl","Matt Dinniman","A Coast Guard vet named Carl and his ex-girlfriend’s cat, Princess Donut, are trapped in a fantasy dungeon.",481,2025-12-30,Ace,https://covers.openlibrary.org/b/isbn/9798217287161-L.jpg,9780593820254.jpg,Fiction,,,adult,intense,"adventurous, humorous, tense",0.95,7.5,9,3,6,fish_out_of_water,conversational,post_apocalyptic,0.9,1,"Combined Print & E-Book Fiction",2,9
9780593135228,"Project Hail Mary","Andy Weir","Ryland Grace awakes from a long sleep alone and far from home, and the fate of humanity rests on his shoulders.",497,"Oct 04, 2022",Ballantine,https://covers.openlibrary.org/b/id/14548865-L.jpg,9780593135228.jpg,Fiction,,,adult,moderate,"adventurous, thought_provoking, humorous",0.9,4,8,6,6,chosen_one,conversational,space_station,0.9,1,"Combined Print & E-Book Fiction",31,10
9780593718049,"Tom Clancy: Terminal Velocity","M.P. Woodward","The 14th book in the Jack Ryan Jr. series. A terror group returns with a new leader.",448,2025,Putnam,https://covers.openlibrary.org/b/isbn/9780593718032-L.jpg,9780593718049.jpg,Fiction,,,,,,,,,,,,,,,1,"Combined Print & E-Book Fiction",1,9
9780593638811,"Deadly Storms","Christine Feehan","A woman with a troubled past may have more in store.",448,2025,Berkley,https://covers.openlibrary.org/b/isbn/9780593638811-L.jpg,9780593638811.jpg,Fiction,,,,,,,,,,,,,,,1,"Combined Print & E-Book Fiction",1,13
9781464260100,"Leave Me Behind","K.M. Moronova","A candidate for a Special Ops team has a one-night stand with a mysterious man who turns out to be her immediate superior.",352,2025,Bloom,https://covers.openlibrary.org/b/isbn/9781464260100-L.jpg,9781464260100.jpg,Fiction,,,,,,,,,,,,,,,1,"Combined Print & E-Book Fiction",1,15
9781668094716,"Mother Mary Comes To Me","Arundhati Roy","The author of “The Ministry of Utmost Happiness” ruminates on her relationship with her late mother.",224,2025,Scribner,https://covers.openlibrary.org/b/isbn/9780241761724-L.jpg,9781668094716.jpg,Fiction,,,,,,,,,,,,,,,1,"Combined Print & E-Book Nonfiction",1,8
9780593654798,"They All Came To Barneys","Gene Pressman","How three generations of the Pressman family developed the business of the luxury department store Barneys.",320,2025,Viking,https://covers.openlibrary.org/b/isbn/9780593654798-L.jpg,9780593654798.jpg,Fiction,,,,,,,,,,,,,,,1,"Combined Print & E-Book Nonfiction",1,9
9780812988406,"When Breath Becomes Air","Paul Kalanithi",,256,2016,"Random House",https://covers.openlibrary.org/b/id/12390254-L.jpg,9780812988406.jpg,Fiction,,,,,,,,,,,,,,,1,"Combined Print & E-Book Nonfiction",65,12
9780316586009,"The Hallmarked Man","Robert Galbraith","The eighth book in the Cormoran Strike series. A dismembered corpse found in a silver shop sets off an investigation.",832,2025,Mulholland,https://covers.openlibrary.org/b/isbn/9780316586009-L.jpg,9780316586009.jpg,Fiction,"Cormoran Strike series",8,adult,intense,"mysterious, tense, suspenseful",0.9,8.5,7,5,7,whodunit,conversational,urban,0.8,1,"Hardcover Fiction",1,2
9781982179304,"Apostle'S Cove","William Kent Krueger","The 21st book in the Cork O'Connor mystery series. Cork runs into trouble as he reinvestigates a decades-old closed case.",336,2025,Atria,https://covers.openlibrary.org/b/id/15119661-L.jpg,9781982179304.jpg,Fiction,"Cork O'Connor mystery series",21,adult,moderate,"mysterious, suspenseful",0.9,6,7,5,6,whodunit,conversational,wilderness,0.85,1,"Hardcover Fiction",1,7
9780593718032,"Tom Clancy: Terminal Velocity","M.P. Woodward","The 14th book in the Jack Ryan Jr. series. A terror group returns with a new leader.",446,2025,Putnam,https://covers.openlibrary.org/b/id/15119666-L.jpg,9780593718032.jpg,Fiction,"Jack Ryan Jr. series",14,adult,intense,"suspenseful, tense, adventurous",0.9,7,9,4,7,heros_journey,cinematic,contemporary,0.8,1,"Hardcover Fiction",1,11
9780008759827,"The Pumpkin Spice Café","Laurie Gilmore","Jeanie takes over her aunt’s café in Dream Harbor and encounters a local farmer.",384,"August 12, 2025",HarperCollins,https://covers.openlibrary.org/b/id/15126494-L.jpg,9780008759827.jpg,Fiction,,,adult,light,"cozy, romantic",0.9,1,3,2,4,fish_out_of_water,conversational,small_town,0.8,1,"Hardcover Fiction",4,13
9781464234460,"The Good Girl Effect","Sara Cate","Camille Aubert becomes a live-in nanny working for a grieving single father who operates a kink club in Paris.",320,2025,"Sourcebooks Casablanca",https://covers.openlibrary.org/b/id/15120267-L.jpg,9781464234460.jpg,Fiction,,,adult,intense,"romantic, melancholic, tense",0.9,7.5,6.5,3.5,8.5,forbidden_love,conversational,urban,0.8,1,"Paperback Trade Fiction",1,4
