goodreads_id,isbn13,isbn10,title,author,additional_authors,description,page_count,published_date,publisher,cover_url,cover_filename,genres,series_name,volume_number,binding,average_rating,user_rating,user_review,user_status,user_shelves,date_added,date_read,audience,intensity,moods,classification_confidence,mood_darkness,pacing_speed,complexity_score,emotional_intensity,plot_archetype,prose_style,setting_atmosphere,vibe_confidence
,9784444407304,,"2001: A Space Odyssey","Arthur C. Clarke",,"On the Moon, an enigma is uncovered.

So great are the implications of this discovery that for the first time men are sent out deep into our solar system.

But long before their destination is reached, things begin to go horribly, inexplicably wrong...

One of the greatest-selling science fiction novels of our time, this classic book will grip you to the very end.",297,2068-04-28,Roc,https://covers.openlibrary.org/b/isbn/9784444407304-L.jpg,9784444407304.jpg,"Human-computer interaction, Computers, Fiction, Science fiction, Twenty-first century, Space vehicles, Long Now Manual for Civilization, English Science fiction, Fiction, science fiction, hard science fiction, Saturn, Jupiter, space travel, alien artifacts, human origins, High interest-low vocabulary books, Readers, Fiction, science fiction, general, English literature, HAL (Fictitious character), Interplanetary voyages","Space Odyssey",1,Paperback,4.15,,,want_to_read,,,,,,,,,,,,,,,
,9780670036394,,"The Truth About Forever","Sarah Dessen",,"That's what Macy has to look forward to while her boyfriend, Jason, is away at Brain Camp. Days will be spent at a boring job in the library, evenings will be filled with vocabulary drills for the SATs, and spare time will be passed with her mother, the two of them sharing a silent grief at the traumatic loss of Macy's father.But sometimes, unexpected things can happen—things such as the catering job at Wish, with its fun-loving, chaotic crew. Or her sister's project of renovating the neglected beach house, awakening long-buried memories. Things such as meeting Wes, a boy with a past, a taste for Truth-telling, and an amazing artistic talent, the kind of boy who could turn any girl's world upside down. As Macy ventures out of her shell, she begins to question her sheltered life.",374,2004,"Penguin Group Inc.",https://covers.openlibrary.org/b/isbn/9780670036394-L.jpg,9780670036394.jpg,"Fiction, Juvenile fiction, Grief, Death, Caterers and catering, Interpersonal relations, Young adult fiction, Teenagers and death, Girls, Friendship, Summer",,,Paperback,4.12,,,want_to_read,,,,,,,,,,,,,,,
,9780143119685,,"A Discovery of Witches","Deborah Harkness",,"A richly inventive novel about a centuries-old vampire, a spellbound witch, and the mysterious manuscript that draws them together. Deep in the stacks of Oxford's Bodleian Library, young scholar Diana Bishop unwittingly calls up a bewitched alchemical manuscript in the course of her research. Descended from an old and distinguished line of witches, Diana wants nothing to do with sorcery; so after a furtive glance and a few notes, she banishes the book to the stacks. But her discovery sets a fantastical underworld stirring, and a horde of daemons, witches, and vampires soon descends upon the library. Diana has stumbled upon a coveted treasure lost for centuries-and she is the only creature who can break its spell. Debut novelist Deborah Harkness has crafted a mesmerizing and addictive read, equal parts history and magic, romance and suspense. Diana is a bold heroine who meets her equal in vampire geneticist Matthew Clairmont, and gradually warms up to him as their alliance deepens into an intimacy that violates age-old taboos. This smart, sophisticated story harks back to the novels of Anne Rice, but it is as contemporary and sensual as the Twilight series-with an extra serving of historical realism.",579,2011,"Viking Penguin",https://covers.openlibrary.org/b/isbn/9780143119685-L.jpg,9780143119685.jpg,"Vampires--Fiction., Witches--Fiction., Alchemy--Manuscripts--Fiction., Science and magic--Fiction., Alchemy, Vampires, Witches, Manuscripts, Science and magic, Fiction, Vampires, fiction, Fiction, romance, paranormal, Fiction, occult & supernatural, Magic, Amerikanisches Englisch, Fantasy fiction, Love stories, Large type books, Man-woman relationships, fiction, Romance fiction, nyt:hardcover-fiction=2011-02-27, New York Times bestseller, Fiction, romance, paranormal, general, Fiction, romance, general, Fiction, thrillers, general, Women college teachers, American fiction","All Souls Trilogy",1,Hardcover,4,,,want_to_read,,,,,,,,,,,,,,,
,9781416912040,,Unwind,"Neal Shusterman",,"Connor, Risa, and Lev are running for their lives.The Second Civil War was fought over reproductive rights. The chilling resolution: Life is inviolable from the moment of conception until age thirteen. Between the ages of thirteen and eighteen, however, parents can have their child ""unwound,"" whereby all of the child's organs are transplanted into different donors, so life doesn't technically end. Connor is too difficult for his parents to control. Risa, a ward of the state, is not enough to be kept alive. And Lev is a tithe, a child conceived and raised to be unwound. Together, they may have a chance to escape and to survive.",337,2007,"Simon & Schuster Books for Young Readers",https://covers.openlibrary.org/b/isbn/9781416912040-L.jpg,9781416912040.jpg,"Juvenile fiction, Revolutionaries, Fiction, Fugitives from justice, Science fiction, Survival after airplane accidents, shipwrecks, Survival skills, Survival, Runaway children, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Children's fiction, Survival, fiction, Identity, fiction","Unwind Dystology",1,Hardcover,4.17,,,want_to_read,,,,,,,,,,,,,,,
,9781407020006,,Trainspotting,"Irvine Welsh",,"The bestselling novel by Irvine Welsh that provided the inspiration for Danny Boyle’s hit film Choose us. Choose life. Choose mortgage payments; choose washing machines; choose cars; choose sitting oan a couch watching mind-numbing and spirit-crushing game shows, stuffing fuckin junk food intae yir mooth. Choose rotting away, pishing and shiteing yersel in a home, a total fuckin embarrassment tae the selfish, fucked-up brats ye've produced. Choose life.",430,1993-10-28,Vintage,https://covers.openlibrary.org/b/isbn/9781407020006-L.jpg,9781407020006.jpg,"Fiction, Drug addicts, Young men, Scotland, fiction, Edinburgh (scotland), fiction, Fiction, general, Medicine in Literature, Drogenabhängigkeit, Ficción, Jóvenes (Varones), Drug addiction, Subculture, Literature, New York Times reviewed, Scots language","Mark Renton",2,Paperback,4.07,,,want_to_read,,,,,,,,,,,,,,,
,,,"Are You My Mother?","P.D. Eastman",,"ARE YOU MY MOTHER? tells a very simple story for children who have just started to read. their younger brothers or sisters will also want to follow the baby bird's quest as he asks everyone and everything he meets, ""Are You My Mother?"".Back in 1957, Theodor Geisel responded to an article in Life magazine that lamented the use of boring reading primers in schools. Using the pseudonym of ""Dr. Seuss"" (Seuss was Geisel's middle name) and only two hundred twenty-three words, Geisel created a replacement for those dull primers: ""The Cat in the Hat."" The instant success of the book prompted Geisel and his wife to found Beginner Books, and Geisel wrote many popular books in this series, including ""Hop on Pop,"" ""Fox in Socks,"" and ""Green Eggs and Ham."" Other favorite titles in this series are ""Go, Dog, Go!"" and ""Are You My Mother?"" by P. D. Eastman, ""A Fly Went By,"" by Mike McClintock, and ""Put Me in the Zoo,"" by Robert Lopshire. These affordable hardcover books combine large print, easy vocabulary, and large, bright illustrations in stories kids will want to read again and again. Grades 1 - Grades 2.",64,1960-12-06,"Random House, Inc.",https://covers.openlibrary.org/b/isbn/0679890475-L.jpg,,"Animals, Mothers, Juvenile fiction, Mother and child, Birds, Fiction, Children's fiction, Birds, fiction, Animals, fiction, Mothers, fiction, Large type books",,,Paperback,4.19,,,want_to_read,,,,,,,,,,,,,,,
,,,"Cannery Row","John Steinbeck",,"Cannery Row is a book without much of a plot. Rather, it is an attempt to capture the feeling and people of a place, the cannery district of Monterey, California, which is populated by a mix of those down on their luck and those who choose for other reasons not to live ""up the hill"" in the more respectable area of town. The flow of the main plot is frequently interrupted by short vignettes that introduce us to various denizens of the Row, most of whom are not directly connected with the central story. These vignettes are often characterized by direct or indirect reference to extreme violence: suicides, corpses, and the cruelty of the natural world.The ""story"" of Cannery Row follows the adventures of Mack and the boys, a group of unemployed yet resourceful men who inhabit a converted fish-meal shack on the edge of a vacant lot down on the Row.Sweet Thursday is the sequel to Cannery Row.",181,2045-01-28,"Penguin Books",https://covers.openlibrary.org/b/isbn/0140187375-L.jpg,,"Community life, Fiction, Open Library Staff Picks, Marine biologists, American fiction, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Monterey (calif.), fiction, American fiction (fictional works by one author), Social Marginality, Vida en comunidad, Novela, NOVELAS ESTADOUNIDENSES","Cannery Row",1,Paperback,4.04,,,want_to_read,,,,adult,dark,"thought_provoking, melancholic",0.9,8,2,6,8,ensemble,lyrical,urban,0.9
,9780140622522,,"Much Ado About Nothing","William Shakespeare",,"In Much Ado About Nothing, Shakespeare includes two quite different stories of romantic love. Hero and Claudio fall in love almost at first sight, but an outsider, Don John, strikes out at their happiness. Beatrice and Benedick are kept apart by pride and mutual antagonism until others decide to play Cupid.",246,1998-10-28,"Simon Schuster",https://covers.openlibrary.org/b/isbn/9780140622522-L.jpg,9780140622522.jpg,"mistaken identities, performing arts, comedy, Drama, Conspiracies, Rejection (Psychology), Courtship, Juvenile drama, Criticism and interpretation, Quartos, Plays, English drama, Shakespeare, William. Much ado about nothing, Textual Criticism, Specimens, Fiction, Classic Literature, open_syllabus_project, History and criticism, English drama (Comedy), Dictionaries, English language, French, Juvenile literature, Much ado about nothing (Shakespeare, William), Shakespeare, william, 1564-1616, much ado about nothing, British and irish drama (dramatic works by one author), English literature, study and teaching, Shakespeare, william, 1564-1616, juvenile literature, Drama (dramatic works by one author), English literature, Drama, collections, Shakespeare, william, 1564-1616, dramatic production, Bibliography, Miniature books, Messina (Italy), Problems, exercises, Mistaken identity, Children's plays, English, Early modern and Elizabethan, Tragedies, Beatrice (Fictitious character : Shakespeare), Benedick (Fictitious character : Shakespeare), Man-woman relationships, Marriage, Drehbuch, Much ado about nothing, Political crimes and offenses, Comedies, Humorous plays, Shakespeare, william, 1564-1616, study and teaching, Fiction, science fiction, general, English drama, history and criticism, Shakespeare, william, 1564-1616, adaptations, Fiction, general, Dramatic production, Stage history, Film adaptations, Women in literature, Politics and government, American College and school drama, Geneseo State University of New York College, Hydrography, Maps",,,Paperback,4.06,,,want_to_read,,,,adult,moderate,"romantic, humorous, thought_provoking",0.9,3,6,7,6,enemies_to_lovers,dialogue_heavy,other,0.9
,,,"Swann's Way","Marcel Proust",,"Marcel Proust's In Search of Lost Time is one of the most entertaining reading experiences in any language and arguably the finest novel of the twentieth century. But since its original prewar translation there has been no completely new version in English. Now, Penguin brings Proust's masterpiece to new audiences throughout the world, beginning with Lydia Davis's internationally acclaimed translation of the first volume, Swann's Way.Swann's Way is one of the preeminent novels of childhood: a sensitive boy's impressions of his family and neighbors, all brought dazzlingly back to life years later by the taste of a madeleine. It also enfolds the short novel ""Swann in Love,"" an incomparable study of sexual jealousy that becomes a crucial part of the vast, unfolding structure of In Search of Lost Time. The first volume of the work that established Proust as one of the finest voices of the modern age — satirical, skeptical, confiding, and endlessly varied in its response to the human condition — Swann's Way also stands on its own as a perfect rendering of a life in art, of the past re-created through memory.",444,2013-11-14,"Penguin Classics",https://covers.openlibrary.org/b/id/11967344-L.jpg,,"Comics & graphic novels, general, France, fiction, Early memories, Fiction, Social life and customs, Upper class, Villages, Manners and customs, Romance literature, French language, Readers, Classic Literature, Translations into Czech, French fiction, Translations into English, Fiction, general, Continental european fiction (fictional works by one author), Dictionaries, English language, French, Fiction, romance, general, Literature, Fiction, historical, Fiction, christian, classic & allegory, Spanish, Fin de siecle, belle epoque","À la recherche du temps perdu",1,Paperback,4.12,,,want_to_read,,,,adult,moderate,"thought_provoking, melancholic, romantic",0.9,5,1,10,7,coming_of_age,lyrical,small_town,0.9
,9780312370831,,"Sarah's Key","Tatiana de Rosnay",,"Paris, July 1942: Ten-year-old Sarah is brutally arrested with her family in the Vel' d'Hiv' roundup, the most notorious act of French collaboration with the Nazis. but before the police come to take them, Sarah locks her younger brother, Michel, in their favorite hiding place, a cupboard in the family's apartment. She keeps the key, thinking that she will be back within a few hours.Paris, May 2002: On Vel' d'Hiv's sixtieth anniversary, Julia Jarmond, an American journalist, is asked by her Paris-based American magazine to write an article about this black day in France's past. Julia has lived in Paris for nearly twenty-five years, married a Frenchman, and she is shocked both by her ignorance about the event and the silence that still surrounds it. In the course of her investigation, she stumbles onto a trail of long-hidden family secrets that connects her to Sarah. Julia finds herself compelled to retrace the girl's ordeal, from the terrible days spent shut in at the Vel' d'Hiv' to the camps and beyond. As she probes into Sarah's past, she begins to question her own place in France and to reevaluate her marriage and her life.Writing about the fate of her country with a pitiless clarity, Tatiana de Rosnay offers us a brilliantly subtle, compelling portrait of France under occupation and reveals the taboos and denial surrounding this painful episode in French history.(front flap)",294,2006-09-28,"St. Martins Press",https://covers.openlibrary.org/b/isbn/9780312370831-L.jpg,9780312370831.jpg,"Vel' d'Hiv Roundup, Nazis, Family secrets, Jews, Anniversaries, Fiction, Women authors, Americans, New York Times bestseller, World War, 1939-1945, nyt:trade_fiction_paperback=2009-02-28, History, historical fiction, World War (1939-1945), German Occupation of France (1940-1945), France, German occupation, 1940-1945, Paris (France), Romans, nouvelles, Guerre mondiale, 1939-1945, Juifs, Vel'd'Hiv, Rafle du, 1942, Histoire, Fiction, historical, Jews, fiction, World war, 1939-1945, fiction, Women journalists, fiction, Paris (france), fiction, Secrecy, Collaborationists, Persecutions, Large type books, Fiction, historical, general, Authors, fiction, French fiction, Jews--france--fiction, World war, 1939-1945--anniversaries, etc, World war, 1939-1945--france--anniversaries, etc--fiction, Americans--france--fiction, Women authors--fiction, Family secrets--fiction, Pr9105.9.r66 s27 2007, 823/.914",,,Hardcover,4.16,,,want_to_read,,,,adult,dark,"melancholic, mysterious, thought_provoking",1,10,7,6,10,whodunit,journalistic,urban,0.9
